Date,NIFTY,SBI,CRUDE,VIX,USDINR
2008-03-03,4953.0,153.49978637695312,102.44999694824219,35.7599983215332,40.25400161743164
2008-03-04,4864.25,149.7864532470703,99.5199966430664,38.08000183105469,40.20899963378906
2008-03-05,4921.39990234375,147.64227294921875,104.5199966430664,35.5099983215332,40.17399978637695
2008-03-07,4771.60009765625,146.91563415527344,105.1500015258789,35.20000076293945,40.23899841308594
2008-03-10,4800.39990234375,150.56106567382812,107.9000015258789,32.58000183105469,40.31399917602539
2008-03-11,4865.89990234375,151.28378295898438,108.75,32.689998626708984,40.17499923706055
2008-03-12,4872.0,144.35223388671875,109.91999816894531,32.36000061035156,39.979000091552734
2008-03-13,4623.60009765625,135.4323272705078,110.33000183105469,34.150001525878906,40.124000549316406
2008-03-14,4745.7998046875,136.7818603515625,110.20999908447266,31.110000610351562,40.07500076293945
2008-03-17,4503.10009765625,130.66885375976562,105.68000030517578,33.43000030517578,40.374000549316406
2008-03-18,4533.0,127.17517852783203,109.41999816894531,37.84000015258789,40.15399932861328
2008-03-19,4573.9501953125,128.17333984375,104.4800033569336,35.4900016784668,40.132999420166016
2008-03-24,4609.85009765625,131.29969787597656,100.86000061035156,35.209999084472656,40.185001373291016
2008-03-25,4877.5,138.87008666992188,101.22000122070312,33.29999923706055,40.051998138427734
2008-03-26,4828.85009765625,136.84971618652344,105.9000015258789,37.18000030517578,40.05699920654297
2008-03-27,4830.25,131.49139404296875,107.58000183105469,37.279998779296875,39.94499969482422
2008-03-28,4942.0,133.98287963867188,105.62000274658203,33.06999969482422,39.6150016784668
2008-03-31,4734.5,127.7900390625,101.58000183105469,35.13999938964844,39.888999938964844
2008-04-02,4754.2001953125,132.25799560546875,104.83000183105469,33.619998931884766,39.91999816894531
2008-04-03,4771.60009765625,130.88845825195312,103.83000183105469,36.68000030517578,39.88399887084961
2008-04-04,4647.0,127.90584564208984,106.2300033569336,36.93000030517578,39.80500030517578
2008-04-07,4761.2001953125,133.6315155029297,109.08999633789062,30.989999771118164,39.87300109863281
2008-04-08,4709.64990234375,133.70339965820312,108.5,31.399999618530273,39.82899856567383
2008-04-09,4747.0498046875,135.24061584472656,110.87000274658203,38.2400016784668,39.81700134277344
2008-04-10,4733.0,132.7052001953125,110.11000061035156,30.520000457763672,39.88999938964844
2008-04-11,4777.7998046875,133.12841796875,110.13999938964844,33.83000183105469,39.775001525878906
2008-04-15,4879.64990234375,133.8192138671875,113.79000091552734,30.229999542236328,39.86399841308594
2008-04-16,4887.2998046875,132.96072387695312,114.93000030517578,27.940000534057617,39.82899856567383
2008-04-17,4958.39990234375,134.4180908203125,114.86000061035156,27.100000381469727,39.87200164794922
2008-04-21,5037.0,139.0298309326172,117.4800033569336,27.100000381469727,39.81700134277344
2008-04-22,5049.2998046875,138.34701538085938,119.37000274658203,39.619998931884766,39.827999114990234
2008-04-23,5022.7998046875,135.43629455566406,118.30000305175781,32.369998931884766,39.86000061035156
2008-04-24,4999.85009765625,134.29432678222656,116.05999755859375,28.729999542236328,40.03499984741211
2008-04-25,5111.7001953125,139.62474060058594,118.5199966430664,27.399999618530273,40.064998626708984
2008-04-28,5089.64990234375,138.69839477539062,118.75,27.6200008392334,40.03099822998047
2008-04-29,5195.5,143.385986328125,115.62999725341797,26.15999984741211,40.29999923706055
2008-04-30,5165.89990234375,141.7169647216797,113.45999908447266,26.15999984741211,40.38600158691406
2008-05-02,5228.2001953125,145.53009033203125,116.31999969482422,24.209999084472656,40.48500061035156
