,Date,NIFTY,SBI,CRUDE,VIX,USDINR,NIFTY_return_1d,NIFTY_return_7d,NIFTY_return_30d,NIFTY_MA_50,NIFTY_MA_200,RSI,VIX_lag1,VIX_lag7,CRUDE_lag7,TARGET
199,2009-02-04,2803.050048828125,88.8454360961914,40.31999969482422,44.38999938964844,48.55099868774414,0.006878891898466799,0.046480370995669595,-0.05121263351562655,2836.1459912109376,3925.1344946289064,53.46741725219953,49.2400016784668,34.0099983215332,46.470001220703125,1
200,2009-02-05,2780.050048828125,88.67937469482422,41.16999816894531,43.91999816894531,48.71500015258789,-0.008205347603270852,0.0031392465279767023,-0.0917095323603283,2838.083994140625,3914.269744873047,46.414436304846426,44.38999938964844,42.86000061035156,41.58000183105469,1
201,2009-02-06,2843.10009765625,90.61133575439452,40.16999816894531,50.650001525878906,48.09000015258789,0.022679465376784336,-0.0022459738002280627,-0.07616568719536965,2842.24599609375,3904.163995361328,57.23908386052137,43.91999816894531,40.7599983215332,42.15999984741211,1
202,2009-02-09,2919.89990234375,92.95638275146484,39.560001373291016,44.58000183105469,48.5359992980957,0.0270126981286416,0.033977213771815507,-0.03928540932653646,2849.58099609375,3894.1564953613283,56.35112822775277,50.650001525878906,43.11000061035156,41.43999862670898,1
203,2009-02-10,2934.5,94.29703521728516,37.54999923706055,44.29999923706055,48.59199905395508,0.005000204851039802,0.020766644691066816,-0.011503512865154164,2854.4019970703125,3884.970994873047,59.812136629674434,44.58000183105469,42.09999847412109,41.68000030517578,1
204,2009-02-11,2925.699951171875,93.87580108642578,35.939998626708984,46.650001525878906,48.608001708984375,-0.002998823931887884,0.05748831780030672,0.0030340446781054187,2858.75099609375,3875.5974951171875,67.67569913472754,44.29999923706055,43.68999862670898,40.08000183105469,1
205,2009-02-12,2893.050048828125,93.90008544921876,33.97999954223633,45.650001525878906,48.74700164794922,-0.011159689267066564,0.03920764047316583,0.012529547231822535,2863.5319970703126,3865.7332458496094,63.872758974870585,46.650001525878906,49.2400016784668,40.77999877929688,1
206,2009-02-13,2948.35009765625,96.87295532226562,37.5099983215332,43.310001373291016,48.7599983215332,0.019114791619496918,0.05183640901769504,0.008948787530397517,2867.4539990234375,3856.1149963378907,70.25220765540453,45.650001525878906,44.38999938964844,40.31999969482422,1
207,2009-02-17,2770.5,89.00745391845703,34.93000030517578,44.0,49.45000076293945,-0.06032190607134125,-0.003435207517990757,-0.07014599765061247,2867.7619970703126,3846.8494958496094,49.943413618174205,43.310001373291016,43.91999816894531,41.16999816894531,1
208,2009-02-18,2776.14990234375,86.74742126464844,34.619998931884766,43.040000915527344,49.89500045776367,0.002039307830265402,-0.02354830748579384,-0.0618420850714787,2869.6269970703124,3837.0012463378907,44.59588481274589,44.0,50.650001525878906,40.16999816894531,1
209,2009-02-19,2789.35009765625,85.75917053222656,39.47999954223633,43.040000915527344,49.59999847412109,0.004754856825762932,-0.04471036989408783,-0.0844834339357512,2872.257998046875,3828.432496337891,47.40358504994381,43.040000915527344,44.58000183105469,39.560001373291016,1
